Date,Sal_temp,Sal_max,Sal_min,Sal_dwp,Sal_mx_dwp,Sal_mi_dwp,Sal_pressure,Sal_humidity,Sal_wind,Sal_clouds,Sal_temp_1,Sal_temp_2,Sal_temp_3,Sal_max_1,Sal_max_2,Sal_max_3,Sal_min_1,Sal_min_2,Sal_min_3,Sal_dwp_1,Sal_dwp_2,Sal_dwp_3,Sal_mx_dwp_1,Sal_mx_dwp_2,Sal_mx_dwp_3,Sal_mi_dwp_1,Sal_mi_dwp_2,Sal_mi_dwp_3,Sal_pressure_1,Sal_pressure_2,Sal_pressure_3,Sal_humidity_1,Sal_humidity_2,Sal_humidity_3,Sal_wind_1,Sal_wind_2,Sal_wind_3,Sal_clouds_1,Sal_clouds_2,Sal_clouds_3
2017-01-04,27.416666666666668,27.416666666666668,27.416666666666668,21.591666666666665,21.591666666666665,21.591666666666665,1013.9166666666666,70.875,5.291666666666667,24.166666666666668,27.333333333333332,26.875,27.041666666666668,27.333333333333332,26.875,27.041666666666668,27.333333333333332,26.875,27.041666666666668,21.708333333333325,21.683333333333334,22.266666666666662,21.708333333333325,21.683333333333334,22.266666666666662,21.708333333333325,21.683333333333334,22.266666666666662,1012.3333333333334,1012.9166666666666,1015.3333333333334,71.875,74.04166666666667,76.125,4.208333333333333,4.0,4.083333333333333,26.666666666666668,25.833333333333332,40.0
2017-01-05,27.666666666666668,27.666666666666668,27.666666666666668,24.266666666666655,24.266666666666655,24.266666666666655,1014.9583333333334,83.0,5.041666666666667,37.5,27.416666666666668,27.333333333333332,26.875,27.416666666666668,27.333333333333332,26.875,27.416666666666668,27.333333333333332,26.875,21.591666666666665,21.708333333333325,21.683333333333334,21.591666666666665,21.708333333333325,21.683333333333334,21.591666666666665,21.708333333333325,21.683333333333334,1013.9166666666666,1012.3333333333334,1012.9166666666666,70.875,71.875,74.04166666666667,5.291666666666667,4.208333333333333,4.0,24.166666666666668,26.666666666666668,25.833333333333332
2017-01-06,27.25,27.25,27.25,20.766666666666673,20.766666666666673,20.766666666666673,1015.0,67.58333333333333,3.8333333333333335,30.833333333333332,27.666666666666668,27.416666666666668,27.333333333333332,27.666666666666668,27.416666666666668,27.333333333333332,27.666666666666668,27.416666666666668,27.333333333333332,24.266666666666655,21.591666666666665,21.708333333333325,24.266666666666655,21.591666666666665,21.708333333333325,24.266666666666655,21.591666666666665,21.708333333333325,1014.9583333333334,1013.9166666666666,1012.3333333333334,83.0,70.875,71.875,5.041666666666667,5.291666666666667,4.208333333333333,37.5,24.166666666666668,26.666666666666668
2017-01-07,26.875,26.875,26.875,20.500000000000004,20.500000000000004,20.500000000000004,1014.2916666666666,68.125,3.1666666666666665,38.333333333333336,27.25,27.666666666666668,27.416666666666668,27.25,27.666666666666668,27.416666666666668,27.25,27.666666666666668,27.416666666666668,20.766666666666673,24.266666666666655,21.591666666666665,20.766666666666673,24.266666666666655,21.591666666666665,20.766666666666673,24.266666666666655,21.591666666666665,1015.0,1014.9583333333334,1013.9166666666666,67.58333333333333,83.0,70.875,3.8333333333333335,5.041666666666667,5.291666666666667,30.833333333333332,37.5,24.166666666666668
2017-01-08,27.125,27.125,27.125,20.575,20.575,20.575,1013.6666666666666,67.25,4.125,28.125,26.875,27.25,27.666666666666668,26.875,27.25,27.666666666666668,26.875,27.25,27.666666666666668,20.500000000000004,20.766666666666673,24.266666666666655,20.500000000000004,20.766666666666673,24.266666666666655,20.500000000000004,20.766666666666673,24.266666666666655,1014.2916666666666,1015.0,1014.9583333333334,68.125,67.58333333333333,83.0,3.1666666666666665,3.8333333333333335,5.041666666666667,38.333333333333336,30.833333333333332,37.5
2017-01-09,26.916666666666668,26.916666666666668,26.916666666666668,20.483333333333327,20.483333333333327,20.483333333333327,1012.9583333333334,67.83333333333333,3.7916666666666665,34.166666666666664,27.125,26.875,27.25,27.125,26.875,27.25,27.125,26.875,27.25,20.575,20.500000000000004,20.766666666666673,20.575,20.500000000000004,20.766666666666673,20.575,20.500000000000004,20.766666666666673,1013.6666666666666,1014.2916666666666,1015.0,67.25,68.125,67.58333333333333,4.125,3.1666666666666665,3.8333333333333335,28.125,38.333333333333336,30.833333333333332
2017-01-10,27.291666666666668,27.291666666666668,27.291666666666668,22.341666666666658,22.341666666666658,22.341666666666658,1012.2083333333334,75.25,4.583333333333333,31.666666666666668,26.916666666666668,27.125,26.875,26.916666666666668,27.125,26.875,26.916666666666668,27.125,26.875,20.483333333333327,20.575,20.500000000000004,20.483333333333327,20.575,20.500000000000004,20.483333333333327,20.575,20.500000000000004,1012.9583333333334,1013.6666666666666,1014.2916666666666,67.83333333333333,67.25,68.125,3.7916666666666665,4.125,3.1666666666666665,34.166666666666664,28.125,38.333333333333336
2017-01-11,28.0,28.0,28.0,22.249999999999996,22.249999999999996,22.249999999999996,1011.9166666666666,71.25,5.833333333333333,40.833333333333336,27.291666666666668,26.916666666666668,27.125,27.291666666666668,26.916666666666668,27.125,27.291666666666668,26.916666666666668,27.125,22.341666666666658,20.483333333333327,20.575,22.341666666666658,20.483333333333327,20.575,22.341666666666658,20.483333333333327,20.575,1012.2083333333334,1012.9583333333334,1013.6666666666666,75.25,67.83333333333333,67.25,4.583333333333333,3.7916666666666665,4.125,31.666666666666668,34.166666666666664,28.125
2017-01-12,27.666666666666668,27.666666666666668,27.666666666666668,22.40833333333333,22.40833333333333,22.40833333333333,1012.0833333333334,73.70833333333333,4.666666666666667,35.833333333333336,28.0,27.291666666666668,26.916666666666668,28.0,27.291666666666668,26.916666666666668,28.0,27.291666666666668,26.916666666666668,22.249999999999996,22.341666666666658,20.483333333333327,22.249999999999996,22.341666666666658,20.483333333333327,22.249999999999996,22.341666666666658,20.483333333333327,1011.9166666666666,1012.2083333333334,1012.9583333333334,71.25,75.25,67.83333333333333,5.833333333333333,4.583333333333333,3.7916666666666665,40.833333333333336,31.666666666666668,34.166666666666664
2017-01-13,27.375,27.375,27.375,21.816666666666666,21.816666666666666,21.816666666666666,1012.4166666666666,72.20833333333333,5.166666666666667,31.833333333333332,27.666666666666668,28.0,27.291666666666668,27.666666666666668,28.0,27.291666666666668,27.666666666666668,28.0,27.291666666666668,22.40833333333333,22.249999999999996,22.341666666666658,22.40833333333333,22.249999999999996,22.341666666666658,22.40833333333333,22.249999999999996,22.341666666666658,1012.0833333333334,1011.9166666666666,1012.2083333333334,73.70833333333333,71.25,75.25,4.666666666666667,5.833333333333333,4.583333333333333,35.833333333333336,40.833333333333336,31.666666666666668
