Date,Kyo_temp,Kyo_max,Kyo_min,Kyo_dwp,Kyo_mx_dwp,Kyo_mi_dwp,Kyo_pressure,Kyo_humidity,Kyo_wind,Kyo_clouds,Kyo_lat,Kyo_lon,Kyo_ele,Kyo_temp_1,Kyo_temp_2,Kyo_temp_3,Kyo_max_1,Kyo_max_2,Kyo_max_3,Kyo_min_1,Kyo_min_2,Kyo_min_3,Kyo_dwp_1,Kyo_dwp_2,Kyo_dwp_3,Kyo_mx_dwp_1,Kyo_mx_dwp_2,Kyo_mx_dwp_3,Kyo_mi_dwp_1,Kyo_mi_dwp_2,Kyo_mi_dwp_3,Kyo_pressure_1,Kyo_pressure_2,Kyo_pressure_3,Kyo_clouds_1,Kyo_clouds_2,Kyo_clouds_3,Kyo_lat_1,Kyo_lat_2,Kyo_lat_3,Kyo_lon_1,Kyo_lon_2,Kyo_lon_3,Kyo_ele_1,Kyo_ele_2,Kyo_ele_3
2017-01-04,7.083333333333333,7.375,6.541666666666667,0.5416666666666664,0.8333333333333334,-2.220446049250313e-16,1017.4583333333334,67.29166666666667,2.8333333333333335,40.75,35.011636,135.768029,45,6.375,6.208333333333333,5.625,6.583333333333333,6.625,6.041666666666667,5.791666666666667,5.791666666666667,5.166666666666667,0.8666666666666663,1.6250000000000007,0.6000000000000002,1.075,2.0416666666666674,1.016666666666667,0.28333333333333327,1.2083333333333337,0.14166666666666672,1016.7083333333334,1016.2083333333334,1022.4583333333334,24.333333333333332,33.041666666666664,26.041666666666668,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-05,6.25,6.333333333333333,5.875,-3.4249999999999994,-3.3416666666666663,-3.8000000000000003,1021.5833333333334,51.625,3.9583333333333335,68.375,35.011636,135.768029,45,7.083333333333333,6.375,6.208333333333333,7.375,6.583333333333333,6.625,6.541666666666667,5.791666666666667,5.791666666666667,0.5416666666666664,0.8666666666666663,1.6250000000000007,0.8333333333333334,1.075,2.0416666666666674,-2.220446049250313e-16,0.28333333333333327,1.2083333333333337,1017.4583333333334,1016.7083333333334,1016.2083333333334,40.75,24.333333333333332,33.041666666666664,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-06,3.5416666666666665,3.5833333333333335,3.25,-3.9250000000000003,-3.8833333333333333,-4.216666666666668,1021.9583333333334,62.666666666666664,2.2916666666666665,22.5,35.011636,135.768029,45,6.25,7.083333333333333,6.375,6.333333333333333,7.375,6.583333333333333,5.875,6.541666666666667,5.791666666666667,-3.4249999999999994,0.5416666666666664,0.8666666666666663,-3.3416666666666663,0.8333333333333334,1.075,-3.8000000000000003,-2.220446049250313e-16,0.28333333333333327,1021.5833333333334,1017.4583333333334,1016.7083333333334,68.375,40.75,24.333333333333332,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-07,5.416666666666667,5.75,5.125,-1.4666666666666661,-1.133333333333333,-1.7583333333333329,1016.875,65.58333333333333,1.1666666666666667,71.375,35.011636,135.768029,45,3.5416666666666665,6.25,7.083333333333333,3.5833333333333335,6.333333333333333,7.375,3.25,5.875,6.541666666666667,-3.9250000000000003,-3.4249999999999994,0.5416666666666664,-3.8833333333333333,-3.3416666666666663,0.8333333333333334,-4.216666666666668,-3.8000000000000003,-2.220446049250313e-16,1021.9583333333334,1021.5833333333334,1017.4583333333334,22.5,68.375,40.75,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-08,6.125,6.125,5.833333333333333,4.091666666666668,4.091666666666668,3.8000000000000007,1004.5833333333334,89.83333333333333,1.9166666666666667,79.33333333333333,35.011636,135.768029,45,5.416666666666667,3.5416666666666665,6.25,5.75,3.5833333333333335,6.333333333333333,5.125,3.25,5.875,-1.4666666666666661,-3.9250000000000003,-3.4249999999999994,-1.133333333333333,-3.8833333333333333,-3.3416666666666663,-1.7583333333333329,-4.216666666666668,-3.8000000000000003,1016.875,1021.9583333333334,1021.5833333333334,71.375,22.5,68.375,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-09,7.166666666666667,7.333333333333333,6.666666666666667,3.041666666666666,3.2083333333333335,2.5416666666666665,1008.0416666666666,79.375,1.9166666666666667,46.833333333333336,35.011636,135.768029,45,6.125,5.416666666666667,3.5416666666666665,6.125,5.75,3.5833333333333335,5.833333333333333,5.125,3.25,4.091666666666668,-1.4666666666666661,-3.9250000000000003,4.091666666666668,-1.133333333333333,-3.8833333333333333,3.8000000000000007,-1.7583333333333329,-4.216666666666668,1004.5833333333334,1016.875,1021.9583333333334,79.33333333333333,71.375,22.5,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-10,7.166666666666667,7.291666666666667,6.875,0.5416666666666669,0.6666666666666669,0.25000000000000017,1012.8333333333334,66.875,3.1666666666666665,19.166666666666668,35.011636,135.768029,45,7.166666666666667,6.125,5.416666666666667,7.333333333333333,6.125,5.75,6.666666666666667,5.833333333333333,5.125,3.041666666666666,4.091666666666668,-1.4666666666666661,3.2083333333333335,4.091666666666668,-1.133333333333333,2.5416666666666665,3.8000000000000007,-1.7583333333333329,1008.0416666666666,1004.5833333333334,1016.875,46.833333333333336,79.33333333333333,71.375,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-11,5.416666666666667,5.541666666666667,5.291666666666667,-3.383333333333334,-3.258333333333334,-3.508333333333334,1013.25,56.0,4.041666666666667,23.25,35.011636,135.768029,45,7.166666666666667,7.166666666666667,6.125,7.291666666666667,7.333333333333333,6.125,6.875,6.666666666666667,5.833333333333333,0.5416666666666669,3.041666666666666,4.091666666666668,0.6666666666666669,3.2083333333333335,4.091666666666668,0.25000000000000017,2.5416666666666665,3.8000000000000007,1012.8333333333334,1008.0416666666666,1004.5833333333334,19.166666666666668,46.833333333333336,79.33333333333333,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-12,5.916666666666667,6.166666666666667,5.666666666666667,-2.9166666666666665,-2.6666666666666665,-3.1666666666666665,1007.9166666666666,55.833333333333336,3.5833333333333335,28.333333333333332,35.011636,135.768029,45,5.416666666666667,7.166666666666667,7.166666666666667,5.541666666666667,7.291666666666667,7.333333333333333,5.291666666666667,6.875,6.666666666666667,-3.383333333333334,0.5416666666666669,3.041666666666666,-3.258333333333334,0.6666666666666669,3.2083333333333335,-3.508333333333334,0.25000000000000017,2.5416666666666665,1013.25,1012.8333333333334,1008.0416666666666,23.25,19.166666666666668,46.833333333333336,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
2017-01-13,4.375,4.583333333333333,4.166666666666667,-5.041666666666667,-4.833333333333333,-5.25,1005.375,52.916666666666664,3.9166666666666665,23.833333333333332,35.011636,135.768029,45,5.916666666666667,5.416666666666667,7.166666666666667,6.166666666666667,5.541666666666667,7.291666666666667,5.666666666666667,5.291666666666667,6.875,-2.9166666666666665,-3.383333333333334,0.5416666666666669,-2.6666666666666665,-3.258333333333334,0.6666666666666669,-3.1666666666666665,-3.508333333333334,0.25000000000000017,1007.9166666666666,1013.25,1012.8333333333334,28.333333333333332,23.25,19.166666666666668,35.011636,35.011636,35.011636,135.768029,135.768029,135.768029,45.0,45.0,45.0
