Date,Kyo_temp,Kyo_max,Kyo_min,Kyo_dwp,Kyo_mx_dwp,Kyo_mi_dwp,Kyo_temp_1,Kyo_temp_2,Kyo_temp_3,Kyo_max_1,Kyo_max_2,Kyo_max_3,Kyo_min_1,Kyo_min_2,Kyo_min_3,Kyo_dwp_1,Kyo_dwp_2,Kyo_dwp_3,Kyo_mx_dwp_1,Kyo_mx_dwp_2,Kyo_mx_dwp_3,Kyo_mi_dwp_1,Kyo_mi_dwp_2,Kyo_mi_dwp_3
2019-01-18,-0.7633333333333332,4.0,-5.68,-3.7633333333333336,1.0,-8.68,,,,,,,,,,,,,,,,,,
2019-01-19,4.581666666666666,12.0,-4.42,-0.9766666666666665,4.4,-8.219999999999999,-0.7633333333333332,,,4.0,,,-5.68,,,-3.7633333333333336,,,1.0,,,-8.68,,
2019-01-20,6.731052631578947,12.0,2.01,3.0363157894736843,7.6,-1.5999999999999996,4.581666666666666,-0.7633333333333332,,12.0,4.0,,-4.42,-5.68,,-0.9766666666666665,-3.7633333333333336,,4.4,1.0,,-8.219999999999999,-8.68,
2019-01-21,5.9007999999999985,10.0,0.55,-2.0112000000000005,1.0,-3.4000000000000004,6.731052631578947,4.581666666666666,-0.7633333333333332,12.0,12.0,4.0,2.01,-4.42,-5.68,3.0363157894736843,-0.9766666666666665,-3.7633333333333336,7.6,4.4,1.0,-1.5999999999999996,-8.219999999999999,-8.68
2019-01-22,6.315294117647059,12.0,-3.23,1.08,6.2,-5.83,5.9007999999999985,6.731052631578947,4.581666666666666,10.0,12.0,12.0,0.55,2.01,-4.42,-2.0112000000000005,3.0363157894736843,-0.9766666666666665,1.0,7.6,4.4,-3.4000000000000004,-1.5999999999999996,-8.219999999999999
