Date,Kyo_temp,Kyo_max,Kyo_min,Kyo_dwp,Kyo_mx_dwp,Kyo_mi_dwp,Kyo_temp_1,Kyo_temp_2,Kyo_temp_3,Kyo_max_1,Kyo_max_2,Kyo_max_3,Kyo_min_1,Kyo_min_2,Kyo_min_3,Kyo_dwp_1,Kyo_dwp_2,Kyo_dwp_3,Kyo_mx_dwp_1,Kyo_mx_dwp_2,Kyo_mx_dwp_3,Kyo_mi_dwp_1,Kyo_mi_dwp_2,Kyo_mi_dwp_3
2019-01-18,-0.7633333333333332,4.0,-5.68,-3.7633333333333336,1.0,-8.68,,,,,,,,,,,,,,,,,,
2019-01-19,4.581666666666666,12.0,-4.42,-0.9766666666666665,4.4,-8.219999999999999,-0.7633333333333332,,,4.0,,,-5.68,,,-3.7633333333333336,,,1.0,,,-8.68,,
2019-01-20,6.731052631578947,12.0,2.01,3.0363157894736843,7.6,-1.5999999999999996,4.581666666666666,-0.7633333333333332,,12.0,4.0,,-4.42,-5.68,,-0.9766666666666665,-3.7633333333333336,,4.4,1.0,,-8.219999999999999,-8.68,
