Date,Avg_temp,Temp_max,Temp_min,Avg_dwp,Max_dwp,Min_dwp,Avg_temp_1,Avg_temp_2,Avg_temp_3,Temp_max_1,Temp_max_2,Temp_max_3,Temp_min_1,Temp_min_2,Temp_min_3,Avg_dwp_1,Avg_dwp_2,Avg_dwp_3,Max_dwp_1,Max_dwp_2,Max_dwp_3,Min_dwp_1,Min_dwp_2,Min_dwp_3
2019-01-18,6.2219999999999995,8,4,-1.658,0.20000000000000015,-4.4,,,,,,,,,,,,,,,,,,
2019-01-19,6.61625,11,3,-0.08375000000000003,4.4,-5.800000000000002,6.2219999999999995,,,8.0,,,4.0,,,-1.658,,,0.20000000000000015,,,-4.4,,
2019-01-20,7.109583333333332,11,3,1.4595833333333337,4.4,-3.0,6.61625,6.2219999999999995,,11.0,8.0,,3.0,4.0,,-0.08375000000000003,-1.658,,4.4,0.20000000000000015,,-5.800000000000002,-4.4,
2019-01-21,5.994230769230769,13,1,-1.5980769230769236,5.4,-6.2,7.109583333333332,6.61625,6.2219999999999995,11.0,11.0,8.0,3.0,3.0,4.0,1.4595833333333337,-0.08375000000000003,-1.658,4.4,4.4,0.20000000000000015,-3.0,-5.800000000000002,-4.4
2019-01-22,5.251249999999999,12,0,-3.140416666666668,3.4000000000000004,-9.0,5.994230769230769,7.109583333333332,6.61625,13.0,11.0,11.0,1.0,3.0,3.0,-1.5980769230769236,1.4595833333333337,-0.08375000000000003,5.4,4.4,4.4,-6.2,-3.0,-5.800000000000002
2019-01-23,5.212631578947369,11,0,-2.7768421052631576,6.0,-8.6,5.251249999999999,5.994230769230769,7.109583333333332,12.0,13.0,11.0,0.0,1.0,3.0,-3.140416666666668,-1.5980769230769236,1.4595833333333337,3.4000000000000004,5.4,4.4,-9.0,-6.2,-3.0
