Man_temp,Man_max,Man_min,Man_dwp,Man_mx_dwp,Man_mi_dwp,Man_pressure,Man_humidity,Man_wind,Man_clouds,Man_temp_1,Man_temp_2,Man_temp_3,Man_max_1,Man_max_2,Man_max_3,Man_min_1,Man_min_2,Man_min_3,Man_dwp_1,Man_dwp_2,Man_dwp_3,Man_mx_dwp_1,Man_mx_dwp_2,Man_mx_dwp_3,Man_mi_dwp_1,Man_mi_dwp_2,Man_mi_dwp_3
22.041666666666668,22.041666666666668,22.041666666666668,16.216666666666672,16.216666666666672,16.216666666666672,1019.125,70.875,4.583333333333333,72.08333333333333,21.875,21.125,23.541666666666668,21.875,21.125,23.541666666666668,21.875,21.125,23.541666666666668,15.708333333333337,16.333333333333336,19.35000000000001,15.708333333333337,16.333333333333336,19.35000000000001,15.708333333333337,16.333333333333336,19.35000000000001
22.041666666666668,22.041666666666668,22.041666666666668,18.61666666666667,18.61666666666667,18.61666666666667,1016.75,82.875,3.7083333333333335,64.58333333333333,22.041666666666668,21.875,21.125,22.041666666666668,21.875,21.125,22.041666666666668,21.875,21.125,16.216666666666672,15.708333333333337,16.333333333333336,16.216666666666672,15.708333333333337,16.333333333333336,16.216666666666672,15.708333333333337,16.333333333333336
22.333333333333332,22.333333333333332,22.333333333333332,16.908333333333335,16.908333333333335,16.908333333333335,1017.75,72.875,4.041666666666667,43.125,22.041666666666668,22.041666666666668,21.875,22.041666666666668,22.041666666666668,21.875,22.041666666666668,22.041666666666668,21.875,18.61666666666667,16.216666666666672,15.708333333333337,18.61666666666667,16.216666666666672,15.708333333333337,18.61666666666667,16.216666666666672,15.708333333333337
24.208333333333332,24.208333333333332,24.208333333333332,16.53333333333334,16.53333333333334,16.53333333333334,1013.8333333333334,61.625,6.041666666666667,21.875,22.333333333333332,22.041666666666668,22.041666666666668,22.333333333333332,22.041666666666668,22.041666666666668,22.333333333333332,22.041666666666668,22.041666666666668,16.908333333333335,18.61666666666667,16.216666666666672,16.908333333333335,18.61666666666667,16.216666666666672,16.908333333333335,18.61666666666667,16.216666666666672
25.25,25.25,25.25,18.350000000000005,18.350000000000005,18.350000000000005,1009.7083333333334,65.5,5.875,3.3333333333333335,24.208333333333332,22.333333333333332,22.041666666666668,24.208333333333332,22.333333333333332,22.041666666666668,24.208333333333332,22.333333333333332,22.041666666666668,16.53333333333334,16.908333333333335,18.61666666666667,16.53333333333334,16.908333333333335,18.61666666666667,16.53333333333334,16.908333333333335,18.61666666666667
25.166666666666668,25.166666666666668,25.166666666666668,19.900000000000006,19.900000000000006,19.900000000000006,1010.7916666666666,73.66666666666667,4.25,55.0,25.25,24.208333333333332,22.333333333333332,25.25,24.208333333333332,22.333333333333332,25.25,24.208333333333332,22.333333333333332,18.350000000000005,16.53333333333334,16.908333333333335,18.350000000000005,16.53333333333334,16.908333333333335,18.350000000000005,16.53333333333334,16.908333333333335
27.958333333333332,27.958333333333332,27.958333333333332,20.483333333333345,20.483333333333345,20.483333333333345,1007.75,62.625,3.6666666666666665,10.208333333333334,25.166666666666668,25.25,24.208333333333332,25.166666666666668,25.25,24.208333333333332,25.166666666666668,25.25,24.208333333333332,19.900000000000006,18.350000000000005,16.53333333333334,19.900000000000006,18.350000000000005,16.53333333333334,19.900000000000006,18.350000000000005,16.53333333333334
26.75,26.75,26.75,20.891666666666676,20.891666666666676,20.891666666666676,1007.25,70.70833333333333,6.125,55.0,27.958333333333332,25.166666666666668,25.25,27.958333333333332,25.166666666666668,25.25,27.958333333333332,25.166666666666668,25.25,20.483333333333345,19.900000000000006,18.350000000000005,20.483333333333345,19.900000000000006,18.350000000000005,20.483333333333345,19.900000000000006,18.350000000000005
25.166666666666668,25.166666666666668,25.166666666666668,18.200000000000006,18.200000000000006,18.200000000000006,1010.625,65.16666666666667,6.125,57.083333333333336,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,20.891666666666676,20.483333333333345,19.900000000000006,20.891666666666676,20.483333333333345,19.900000000000006,20.891666666666676,20.483333333333345,19.900000000000006
28.625,28.625,28.625,21.075000000000006,21.075000000000006,21.075000000000006,1000.7916666666666,62.25,5.875,15.791666666666666,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,18.200000000000006,20.891666666666676,20.483333333333345,18.200000000000006,20.891666666666676,20.483333333333345,18.200000000000006,20.891666666666676,20.483333333333345
25.291666666666668,25.291666666666668,25.291666666666668,18.800000000000008,18.800000000000008,18.800000000000008,1008.25,67.54166666666667,5.458333333333333,45.833333333333336,28.625,25.166666666666668,26.75,28.625,25.166666666666668,26.75,28.625,25.166666666666668,26.75,21.075000000000006,18.200000000000006,20.891666666666676,21.075000000000006,18.200000000000006,20.891666666666676,21.075000000000006,18.200000000000006,20.891666666666676
23.958333333333332,23.958333333333332,23.958333333333332,17.233333333333338,17.233333333333338,17.233333333333338,1015.8333333333334,66.375,5.583333333333333,53.125,25.291666666666668,28.625,25.166666666666668,25.291666666666668,28.625,25.166666666666668,25.291666666666668,28.625,25.166666666666668,18.800000000000008,21.075000000000006,18.200000000000006,18.800000000000008,21.075000000000006,18.200000000000006,18.800000000000008,21.075000000000006,18.200000000000006
