Date,Avg_temp,Temp_max,Temp_min,Avg_dwp,Max_dwp,Min_dwp,Avg_temp_1,Avg_temp_2,Avg_temp_3,Temp_max_1,Temp_max_2,Temp_max_3,Temp_min_1,Temp_min_2,Temp_min_3,Avg_dwp_1,Avg_dwp_2,Avg_dwp_3,Max_dwp_1,Max_dwp_2,Max_dwp_3,Min_dwp_1,Min_dwp_2,Min_dwp_3
2019-01-19,29.571428571428573,31.0,28.0,22.628571428571433,23.4,21.8,,,,,,,,,,,,,,,,,,
2019-01-20,28.756666666666664,31.0,27.0,23.17333333333332,27.08,21.8,29.571428571428573,,,31.0,,,28.0,,,22.628571428571433,,,23.4,,,21.8,,
2019-01-21,28.884615384615383,31.0,27.0,22.930769230769222,24.2,21.8,28.756666666666664,29.571428571428573,,31.0,31.0,,27.0,28.0,,23.17333333333332,22.628571428571433,,27.08,23.4,,21.8,21.8,
2019-01-22,28.562916666666666,31.0,26.51,22.696249999999996,26.51,21.0,28.884615384615383,28.756666666666664,29.571428571428573,31.0,31.0,31.0,27.0,27.0,28.0,22.930769230769222,23.17333333333332,22.628571428571433,24.2,27.08,23.4,21.8,21.8,21.8
2019-01-23,28.828333333333333,31.0,26.88,24.028333333333332,26.88,22.6,28.562916666666666,28.884615384615383,28.756666666666664,31.0,31.0,31.0,26.51,27.0,27.0,22.696249999999996,22.930769230769222,23.17333333333332,26.51,24.2,27.08,21.0,21.8,21.8
2019-01-24,28.0,28.0,28.0,23.6,23.6,23.6,28.828333333333333,28.562916666666666,28.884615384615383,31.0,31.0,31.0,26.88,26.51,27.0,24.028333333333332,22.696249999999996,22.930769230769222,26.88,26.51,24.2,22.6,21.0,21.8
