Date,Kyo_temp,Kyo_max,Kyo_min,Kyo_dwp,Kyo_mx_dwp,Kyo_mi_dwp,Kyo_pressure,Kyo_humidity,Kyo_wind,Kyo_clouds,Man_temp,Man_max,Man_min,Man_dwp,Man_mx_dwp,Man_mi_dwp,Man_pressure,Man_humidity,Man_wind,Man_clouds,Kyo_temp_1,Kyo_temp_2,Kyo_temp_3,Kyo_max_1,Kyo_max_2,Kyo_max_3,Kyo_min_1,Kyo_min_2,Kyo_min_3,Kyo_dwp_1,Kyo_dwp_2,Kyo_dwp_3,Kyo_mx_dwp_1,Kyo_mx_dwp_2,Kyo_mx_dwp_3,Kyo_mi_dwp_1,Kyo_mi_dwp_2,Kyo_mi_dwp_3,Kyo_pressure_1,Kyo_pressure_2,Kyo_pressure_3,Kyo_humidity_1,Kyo_humidity_2,Kyo_humidity_3,Kyo_wind_1,Kyo_wind_2,Kyo_wind_3,Kyo_clouds_1,Kyo_clouds_2,Kyo_clouds_3,Man_temp_1,Man_temp_2,Man_temp_3,Man_max_1,Man_max_2,Man_max_3,Man_min_1,Man_min_2,Man_min_3,Man_dwp_1,Man_dwp_2,Man_dwp_3,Man_mx_dwp_1,Man_mx_dwp_2,Man_mx_dwp_3,Man_mi_dwp_1,Man_mi_dwp_2,Man_mi_dwp_3,Man_pressure_1,Man_pressure_2,Man_pressure_3,Man_humidity_1,Man_humidity_2,Man_humidity_3,Man_wind_1,Man_wind_2,Man_wind_3,Man_clouds_1,Man_clouds_2,Man_clouds_3
2017-01-04,7.083333333333333,7.375,6.541666666666667,0.5416666666666664,0.8333333333333334,-2.220446049250313e-16,1017.4583333333334,67.29166666666667,2.8333333333333335,40.75,22.041666666666668,22.041666666666668,22.041666666666668,16.216666666666672,16.216666666666672,16.216666666666672,1019.125,70.875,4.583333333333333,72.08333333333333,6.375,6.208333333333333,5.625,6.583333333333333,6.625,6.041666666666667,5.791666666666667,5.791666666666667,5.166666666666667,0.8666666666666663,1.6250000000000007,0.6000000000000002,1.075,2.0416666666666674,1.016666666666667,0.28333333333333327,1.2083333333333337,0.14166666666666672,1016.7083333333334,1016.2083333333334,1022.4583333333334,72.45833333333333,77.08333333333333,74.875,2.5833333333333335,1.9166666666666667,1.1666666666666667,24.333333333333332,33.041666666666664,26.041666666666668,21.875,21.125,23.541666666666668,21.875,21.125,23.541666666666668,21.875,21.125,23.541666666666668,15.708333333333337,16.333333333333336,19.35000000000001,15.708333333333337,16.333333333333336,19.35000000000001,15.708333333333337,16.333333333333336,19.35000000000001,1019.0833333333334,1014.2083333333334,1006.0833333333334,69.16666666666667,76.04166666666667,79.04166666666667,6.583333333333333,6.916666666666667,6.0,61.666666666666664,72.08333333333333,68.75
2017-01-05,6.25,6.333333333333333,5.875,-3.4249999999999994,-3.3416666666666663,-3.8000000000000003,1021.5833333333334,51.625,3.9583333333333335,68.375,22.041666666666668,22.041666666666668,22.041666666666668,18.61666666666667,18.61666666666667,18.61666666666667,1016.75,82.875,3.7083333333333335,64.58333333333333,7.083333333333333,6.375,6.208333333333333,7.375,6.583333333333333,6.625,6.541666666666667,5.791666666666667,5.791666666666667,0.5416666666666664,0.8666666666666663,1.6250000000000007,0.8333333333333334,1.075,2.0416666666666674,-2.220446049250313e-16,0.28333333333333327,1.2083333333333337,1017.4583333333334,1016.7083333333334,1016.2083333333334,67.29166666666667,72.45833333333333,77.08333333333333,2.8333333333333335,2.5833333333333335,1.9166666666666667,40.75,24.333333333333332,33.041666666666664,22.041666666666668,21.875,21.125,22.041666666666668,21.875,21.125,22.041666666666668,21.875,21.125,16.216666666666672,15.708333333333337,16.333333333333336,16.216666666666672,15.708333333333337,16.333333333333336,16.216666666666672,15.708333333333337,16.333333333333336,1019.125,1019.0833333333334,1014.2083333333334,70.875,69.16666666666667,76.04166666666667,4.583333333333333,6.583333333333333,6.916666666666667,72.08333333333333,61.666666666666664,72.08333333333333
2017-01-06,3.5416666666666665,3.5833333333333335,3.25,-3.9250000000000003,-3.8833333333333333,-4.216666666666668,1021.9583333333334,62.666666666666664,2.2916666666666665,22.5,22.333333333333332,22.333333333333332,22.333333333333332,16.908333333333335,16.908333333333335,16.908333333333335,1017.75,72.875,4.041666666666667,43.125,6.25,7.083333333333333,6.375,6.333333333333333,7.375,6.583333333333333,5.875,6.541666666666667,5.791666666666667,-3.4249999999999994,0.5416666666666664,0.8666666666666663,-3.3416666666666663,0.8333333333333334,1.075,-3.8000000000000003,-2.220446049250313e-16,0.28333333333333327,1021.5833333333334,1017.4583333333334,1016.7083333333334,51.625,67.29166666666667,72.45833333333333,3.9583333333333335,2.8333333333333335,2.5833333333333335,68.375,40.75,24.333333333333332,22.041666666666668,22.041666666666668,21.875,22.041666666666668,22.041666666666668,21.875,22.041666666666668,22.041666666666668,21.875,18.61666666666667,16.216666666666672,15.708333333333337,18.61666666666667,16.216666666666672,15.708333333333337,18.61666666666667,16.216666666666672,15.708333333333337,1016.75,1019.125,1019.0833333333334,82.875,70.875,69.16666666666667,3.7083333333333335,4.583333333333333,6.583333333333333,64.58333333333333,72.08333333333333,61.666666666666664
2017-01-07,5.416666666666667,5.75,5.125,-1.4666666666666661,-1.133333333333333,-1.7583333333333329,1016.875,65.58333333333333,1.1666666666666667,71.375,24.208333333333332,24.208333333333332,24.208333333333332,16.53333333333334,16.53333333333334,16.53333333333334,1013.8333333333334,61.625,6.041666666666667,21.875,3.5416666666666665,6.25,7.083333333333333,3.5833333333333335,6.333333333333333,7.375,3.25,5.875,6.541666666666667,-3.9250000000000003,-3.4249999999999994,0.5416666666666664,-3.8833333333333333,-3.3416666666666663,0.8333333333333334,-4.216666666666668,-3.8000000000000003,-2.220446049250313e-16,1021.9583333333334,1021.5833333333334,1017.4583333333334,62.666666666666664,51.625,67.29166666666667,2.2916666666666665,3.9583333333333335,2.8333333333333335,22.5,68.375,40.75,22.333333333333332,22.041666666666668,22.041666666666668,22.333333333333332,22.041666666666668,22.041666666666668,22.333333333333332,22.041666666666668,22.041666666666668,16.908333333333335,18.61666666666667,16.216666666666672,16.908333333333335,18.61666666666667,16.216666666666672,16.908333333333335,18.61666666666667,16.216666666666672,1017.75,1016.75,1019.125,72.875,82.875,70.875,4.041666666666667,3.7083333333333335,4.583333333333333,43.125,64.58333333333333,72.08333333333333
2017-01-08,6.125,6.125,5.833333333333333,4.091666666666668,4.091666666666668,3.8000000000000007,1004.5833333333334,89.83333333333333,1.9166666666666667,79.33333333333333,25.25,25.25,25.25,18.350000000000005,18.350000000000005,18.350000000000005,1009.7083333333334,65.5,5.875,3.3333333333333335,5.416666666666667,3.5416666666666665,6.25,5.75,3.5833333333333335,6.333333333333333,5.125,3.25,5.875,-1.4666666666666661,-3.9250000000000003,-3.4249999999999994,-1.133333333333333,-3.8833333333333333,-3.3416666666666663,-1.7583333333333329,-4.216666666666668,-3.8000000000000003,1016.875,1021.9583333333334,1021.5833333333334,65.58333333333333,62.666666666666664,51.625,1.1666666666666667,2.2916666666666665,3.9583333333333335,71.375,22.5,68.375,24.208333333333332,22.333333333333332,22.041666666666668,24.208333333333332,22.333333333333332,22.041666666666668,24.208333333333332,22.333333333333332,22.041666666666668,16.53333333333334,16.908333333333335,18.61666666666667,16.53333333333334,16.908333333333335,18.61666666666667,16.53333333333334,16.908333333333335,18.61666666666667,1013.8333333333334,1017.75,1016.75,61.625,72.875,82.875,6.041666666666667,4.041666666666667,3.7083333333333335,21.875,43.125,64.58333333333333
2017-01-09,7.166666666666667,7.333333333333333,6.666666666666667,3.041666666666666,3.2083333333333335,2.5416666666666665,1008.0416666666666,79.375,1.9166666666666667,46.833333333333336,25.166666666666668,25.166666666666668,25.166666666666668,19.900000000000006,19.900000000000006,19.900000000000006,1010.7916666666666,73.66666666666667,4.25,55.0,6.125,5.416666666666667,3.5416666666666665,6.125,5.75,3.5833333333333335,5.833333333333333,5.125,3.25,4.091666666666668,-1.4666666666666661,-3.9250000000000003,4.091666666666668,-1.133333333333333,-3.8833333333333333,3.8000000000000007,-1.7583333333333329,-4.216666666666668,1004.5833333333334,1016.875,1021.9583333333334,89.83333333333333,65.58333333333333,62.666666666666664,1.9166666666666667,1.1666666666666667,2.2916666666666665,79.33333333333333,71.375,22.5,25.25,24.208333333333332,22.333333333333332,25.25,24.208333333333332,22.333333333333332,25.25,24.208333333333332,22.333333333333332,18.350000000000005,16.53333333333334,16.908333333333335,18.350000000000005,16.53333333333334,16.908333333333335,18.350000000000005,16.53333333333334,16.908333333333335,1009.7083333333334,1013.8333333333334,1017.75,65.5,61.625,72.875,5.875,6.041666666666667,4.041666666666667,3.3333333333333335,21.875,43.125
2017-01-10,7.166666666666667,7.291666666666667,6.875,0.5416666666666669,0.6666666666666669,0.25000000000000017,1012.8333333333334,66.875,3.1666666666666665,19.166666666666668,27.958333333333332,27.958333333333332,27.958333333333332,20.483333333333345,20.483333333333345,20.483333333333345,1007.75,62.625,3.6666666666666665,10.208333333333334,7.166666666666667,6.125,5.416666666666667,7.333333333333333,6.125,5.75,6.666666666666667,5.833333333333333,5.125,3.041666666666666,4.091666666666668,-1.4666666666666661,3.2083333333333335,4.091666666666668,-1.133333333333333,2.5416666666666665,3.8000000000000007,-1.7583333333333329,1008.0416666666666,1004.5833333333334,1016.875,79.375,89.83333333333333,65.58333333333333,1.9166666666666667,1.9166666666666667,1.1666666666666667,46.833333333333336,79.33333333333333,71.375,25.166666666666668,25.25,24.208333333333332,25.166666666666668,25.25,24.208333333333332,25.166666666666668,25.25,24.208333333333332,19.900000000000006,18.350000000000005,16.53333333333334,19.900000000000006,18.350000000000005,16.53333333333334,19.900000000000006,18.350000000000005,16.53333333333334,1010.7916666666666,1009.7083333333334,1013.8333333333334,73.66666666666667,65.5,61.625,4.25,5.875,6.041666666666667,55.0,3.3333333333333335,21.875
2017-01-11,5.416666666666667,5.541666666666667,5.291666666666667,-3.383333333333334,-3.258333333333334,-3.508333333333334,1013.25,56.0,4.041666666666667,23.25,26.75,26.75,26.75,20.891666666666676,20.891666666666676,20.891666666666676,1007.25,70.70833333333333,6.125,55.0,7.166666666666667,7.166666666666667,6.125,7.291666666666667,7.333333333333333,6.125,6.875,6.666666666666667,5.833333333333333,0.5416666666666669,3.041666666666666,4.091666666666668,0.6666666666666669,3.2083333333333335,4.091666666666668,0.25000000000000017,2.5416666666666665,3.8000000000000007,1012.8333333333334,1008.0416666666666,1004.5833333333334,66.875,79.375,89.83333333333333,3.1666666666666665,1.9166666666666667,1.9166666666666667,19.166666666666668,46.833333333333336,79.33333333333333,27.958333333333332,25.166666666666668,25.25,27.958333333333332,25.166666666666668,25.25,27.958333333333332,25.166666666666668,25.25,20.483333333333345,19.900000000000006,18.350000000000005,20.483333333333345,19.900000000000006,18.350000000000005,20.483333333333345,19.900000000000006,18.350000000000005,1007.75,1010.7916666666666,1009.7083333333334,62.625,73.66666666666667,65.5,3.6666666666666665,4.25,5.875,10.208333333333334,55.0,3.3333333333333335
2017-01-12,5.916666666666667,6.166666666666667,5.666666666666667,-2.9166666666666665,-2.6666666666666665,-3.1666666666666665,1007.9166666666666,55.833333333333336,3.5833333333333335,28.333333333333332,25.166666666666668,25.166666666666668,25.166666666666668,18.200000000000006,18.200000000000006,18.200000000000006,1010.625,65.16666666666667,6.125,57.083333333333336,5.416666666666667,7.166666666666667,7.166666666666667,5.541666666666667,7.291666666666667,7.333333333333333,5.291666666666667,6.875,6.666666666666667,-3.383333333333334,0.5416666666666669,3.041666666666666,-3.258333333333334,0.6666666666666669,3.2083333333333335,-3.508333333333334,0.25000000000000017,2.5416666666666665,1013.25,1012.8333333333334,1008.0416666666666,56.0,66.875,79.375,4.041666666666667,3.1666666666666665,1.9166666666666667,23.25,19.166666666666668,46.833333333333336,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,20.891666666666676,20.483333333333345,19.900000000000006,20.891666666666676,20.483333333333345,19.900000000000006,20.891666666666676,20.483333333333345,19.900000000000006,1007.25,1007.75,1010.7916666666666,70.70833333333333,62.625,73.66666666666667,6.125,3.6666666666666665,4.25,55.0,10.208333333333334,55.0
2017-01-13,4.375,4.583333333333333,4.166666666666667,-5.041666666666667,-4.833333333333333,-5.25,1005.375,52.916666666666664,3.9166666666666665,23.833333333333332,28.625,28.625,28.625,21.075000000000006,21.075000000000006,21.075000000000006,1000.7916666666666,62.25,5.875,15.791666666666666,5.916666666666667,5.416666666666667,7.166666666666667,6.166666666666667,5.541666666666667,7.291666666666667,5.666666666666667,5.291666666666667,6.875,-2.9166666666666665,-3.383333333333334,0.5416666666666669,-2.6666666666666665,-3.258333333333334,0.6666666666666669,-3.1666666666666665,-3.508333333333334,0.25000000000000017,1007.9166666666666,1013.25,1012.8333333333334,55.833333333333336,56.0,66.875,3.5833333333333335,4.041666666666667,3.1666666666666665,28.333333333333332,23.25,19.166666666666668,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,25.166666666666668,26.75,27.958333333333332,18.200000000000006,20.891666666666676,20.483333333333345,18.200000000000006,20.891666666666676,20.483333333333345,18.200000000000006,20.891666666666676,20.483333333333345,1010.625,1007.25,1007.75,65.16666666666667,70.70833333333333,62.625,6.125,6.125,3.6666666666666665,57.083333333333336,55.0,10.208333333333334
