Date,Avg_temp,Temp_max,Temp_min,Avg_dwp,Max_dwp,Min_dwp,Avg_temp_1,Avg_temp_2,Avg_temp_3,Temp_max_1,Temp_max_2,Temp_max_3,Temp_min_1,Temp_min_2,Temp_min_3,Avg_dwp_1,Avg_dwp_2,Avg_dwp_3,Max_dwp_1,Max_dwp_2,Max_dwp_3,Min_dwp_1,Min_dwp_2,Min_dwp_3
2019-01-18,25.380000000000003,29,24,21.78,26.6,19.6,,,,,,,,,,,,,,,,,,
2019-01-19,22.334583333333324,29,20,18.851250000000004,24.6,16.6,25.380000000000003,,,29.0,,,24.0,,,21.78,,,26.6,,,19.6,,
2019-01-20,23.419166666666666,26,21,19.54416666666667,21.6,16.6,22.334583333333324,25.380000000000003,,29.0,29.0,,20.0,24.0,,18.851250000000004,21.78,,24.6,26.6,,16.6,19.6,
2019-01-21,24.788846153846155,29,22,20.781153846153845,25.6,17.6,23.419166666666666,22.334583333333324,25.380000000000003,26.0,29.0,29.0,21.0,20.0,24.0,19.54416666666667,18.851250000000004,21.78,21.6,24.6,26.6,16.6,16.6,19.6
2019-01-22,27.0325,35,22,21.49083333333333,25.4,19.6,24.788846153846155,23.419166666666666,22.334583333333324,29.0,26.0,29.0,22.0,21.0,20.0,20.781153846153845,19.54416666666667,18.851250000000004,25.6,21.6,24.6,17.6,16.6,16.6
2019-01-23,24.601666666666663,33,22,20.96833333333333,27.8,18.6,27.0325,24.788846153846155,23.419166666666666,35.0,29.0,26.0,22.0,22.0,21.0,21.49083333333333,20.781153846153845,19.54416666666667,25.4,25.6,21.6,19.6,17.6,16.6
2019-01-24,25.3825,29,23,21.2325,24.6,19.6,24.601666666666663,27.0325,24.788846153846155,33.0,35.0,29.0,22.0,22.0,22.0,20.96833333333333,21.49083333333333,20.781153846153845,27.8,25.4,25.6,18.6,19.6,17.6
