Date,Avg_temp,Temp_max,Temp_min,Avg_dwp,Max_dwp,Min_dwp,Avg_temp_1,Avg_temp_2,Avg_temp_3,Temp_max_1,Temp_max_2,Temp_max_3,Temp_min_1,Temp_min_2,Temp_min_3,Avg_dwp_1,Avg_dwp_2,Avg_dwp_3,Max_dwp_1,Max_dwp_2,Max_dwp_3,Min_dwp_1,Min_dwp_2,Min_dwp_3
2019-01-18,24.563333333333333,26.7,21.7,16.429999999999996,18.3,14.7,,,,,,,,,,,,,,,,,,
2019-01-19,22.427916666666672,26.1,17.2,15.919583333333334,18.9,11.2,24.563333333333333,,,26.7,,,21.7,,,16.429999999999996,,,18.3,,,14.7,,
2019-01-20,23.208333333333332,28.3,18.9,18.51666666666667,21.8,14.999999999999998,22.427916666666672,24.563333333333333,,26.1,26.7,,17.2,21.7,,15.919583333333334,16.429999999999996,,18.9,18.3,,11.2,14.7,
2019-01-21,24.683846153846154,28.3,20.6,18.891538461538463,21.9,16.799999999999994,23.208333333333332,22.427916666666672,24.563333333333333,28.3,26.1,26.7,18.9,17.2,21.7,18.51666666666667,15.919583333333334,16.429999999999996,21.8,18.9,18.3,14.999999999999998,11.2,14.7
2019-01-22,22.812083333333334,27.8,18.3,18.103749999999994,20.4,15.499999999999998,24.683846153846154,23.208333333333332,22.427916666666672,28.3,28.3,26.1,20.6,18.9,17.2,18.891538461538463,18.51666666666667,15.919583333333334,21.9,21.8,18.9,16.799999999999994,14.999999999999998,11.2
2019-01-23,22.397499999999997,26.7,18.3,17.239166666666666,20.3,15.0,22.812083333333334,24.683846153846154,23.208333333333332,27.8,28.3,28.3,18.3,20.6,18.9,18.103749999999994,18.891538461538463,18.51666666666667,20.4,21.9,21.8,15.499999999999998,16.799999999999994,14.999999999999998
2019-01-24,25.5,26.7,24.4,18.966666666666665,19.9,18.0,22.397499999999997,22.812083333333334,24.683846153846154,26.7,27.8,28.3,18.3,18.3,20.6,17.239166666666666,18.103749999999994,18.891538461538463,20.3,20.4,21.9,15.0,15.499999999999998,16.799999999999994
